Downloaded from wid.world on 25-09-2021 at 21:45:46
Percentile;Year;"sptinc_z_BR
Pre-tax national income 
Top 10% | share
Brazil"
p90p100;1980;0.5684
p90p100;1981;0.5684
p90p100;1982;0.5684
p90p100;1983;0.5684
p90p100;1984;0.5684
p90p100;1985;0.5684
p90p100;1986;0.5684
p90p100;1987;0.5684
p90p100;1988;0.5684
p90p100;1989;0.5684
p90p100;1990;0.5684
p90p100;1991;0.5684
p90p100;1992;0.5684
p90p100;1993;0.5684
p90p100;1994;0.5684
p90p100;1995;0.5684
p90p100;1996;0.5684
p90p100;1997;0.5684
p90p100;1998;0.5684
p90p100;1999;0.5684
p90p100;2000;0.5654
p90p100;2001;0.5654
p90p100;2002;0.5425
p90p100;2003;0.568
p90p100;2004;0.5642
p90p100;2005;0.5637
p90p100;2006;0.5676
p90p100;2007;0.5326
p90p100;2008;0.5819
p90p100;2009;0.5885
p90p100;2010;0.5946
p90p100;2011;0.6007
p90p100;2012;0.5886
p90p100;2013;0.5838
p90p100;2014;0.5882
p90p100;2015;0.5939
p90p100;2016;0.5968
p90p100;2017;0.5989
p90p100;2018;0.5782
p90p100;2019;0.5856
p0p50;1980;0.1086
p0p50;1981;0.1086
p0p50;1982;0.1086
p0p50;1983;0.1086
p0p50;1984;0.1086
p0p50;1985;0.1086
p0p50;1986;0.1086
p0p50;1987;0.1086
p0p50;1988;0.1086
p0p50;1989;0.1086
p0p50;1990;0.1086
p0p50;1991;0.1086
p0p50;1992;0.1086
p0p50;1993;0.1086
p0p50;1994;0.1086
p0p50;1995;0.1086
p0p50;1996;0.1086
p0p50;1997;0.1086
p0p50;1998;0.1086
p0p50;1999;0.1086
p0p50;2000;0.1094
p0p50;2001;0.1094
p0p50;2002;0.1201
p0p50;2003;0.1097
p0p50;2004;0.1109
p0p50;2005;0.1114
p0p50;2006;0.1101
p0p50;2007;0.1226
p0p50;2008;0.1083
p0p50;2009;0.107
p0p50;2010;0.1058
p0p50;2011;0.1046
p0p50;2012;0.1098
p0p50;2013;0.1091
p0p50;2014;0.109
p0p50;2015;0.1062
p0p50;2016;0.0991
p0p50;2017;0.0991
p0p50;2018;0.1015
p0p50;2019;0.1007
